1;ACCIUGA;Engraulis encrasicolus;6;v0
2;AGUGLIA;Belone belone;6;v0
3;ANGUILLA;Anguilla anguilla;2;v0
4;BAVOSA ADRIATICA;Microlipophrys adriaticus;2;v0
5;BAVOSA BASILISCO;Salaria basilisca;2;v0
6;BAVOSA BIANCA;Parablennius rouxi;2;v0
7;BAVOSA CAPONE;Lipophrys trigloides;2;v0
8;BAVOSA CERVINA;Parablennius zvonimiri;2;v0
9;BAVOSA CORNUTA;Parablennius tentacularis;2;v0
10;BAVOSA CRESTATA;Scartella cristata;2;v0
11;BAVOSA DALMATA;Microlipophrys dalmatinus;2;v0
12;BAVOSA GALLETTO;Coryphoblennius galerita;2;v0
13;BAVOSA GOTE GIALLE;Microlipophrys canevae;2;v0
14;BAVOSA OCCHIUTA;Blennius ocellaris;2;v0
15;BAVOSA PAVONE;Salaria pavo;2;v0
16;BAVOSA AFRICANA;Parablennius pilicornis;2;v0
17;BAVOSA PONTICA;Parablennius incognitus;2;v0
18;BAVOSA ROSSA;Microlipophrys nigriceps;2;v0
19;BAVOSA RUGGINE;Parablennius gattorugine;2;v0
20;BAVOSA SANGUIGNA;Parablennius sanguinolentus;2;v0
21;BAVOSA SFINGE;Aidablennius sphynx;2;v0
22;BAVOSELLA D'ALGA;Clinitrachus argentatus;2;v0
23;BISCIA DI MARE;Dalophis imberbis;2;v0
24;BOGA;Boops boops;6;v0
25;BROTOLA NERA;Grammonus ater;6;v0
26;CAPONE;TRIGLIDAE fam.;2;v0
27;CARANGO;Caranx sp.;6;v0
28;CASTAGNOLA;Chromis chromis;4;v0
29;CASTAGNOLA ROSSA;Anthias anthias;4;v0
30;CAVALLUCCIO MARINO;Hippocampus guttulatus;2;v0
31;CAV. MARINO CAMUSO;Hippocampus hippocampus;2;v0
32;CEFALO;MUGILIDAE fam.;6;v0
33;CEFALO LABBRONE;Oedalechilus labeo;6;v0
34;CERNIA;Epinephelus marginatus;6;v0
35;CERNIA BIANCA;Epinephelus aeneus;6;v0
36;CERNIA DORATA;Epinephelus costae;6;v0
37;CERNIA ROSSA;Mycteroperca rubra;6;v0
38;CICERELLO;Gymnammodytes cicerelus;6;v0
39;CORVINA;Sciaena umbra;6;v0
40;NUOVA SPECIE A;non in elenco;6;v0
41;DENTICE;Dentex dentex;6;v0
42;DONZELLA;Coris julis;4;v0
43;DONZELLA  PAVONINA;Thalassoma pavo;4;v0
44;DRAGONCELLO;Callionymus sp.;2;v0
45;GALLETTO;Ophidion barbatum;6;v0
46;GHIOZZO DI FERRER;Pseudaphya ferreri;2;v0
47;GHIOZZETTO;Pomatoschistus sp.;2;v0
48;GHIOZZETTO QUAGGA;Pomatoschistus quagga;2;v0
49;GHIOZZO;GOBIIDAE fam.;2;v0
50;GHIOZZO BOCCAROSSA;Gobius cruentatus;2;v0
51;GHIOZZO FALLACE;Gobius fallax;2;v0
52;GHIOZZO GENIPORO;Gobius geniporus;2;v0
53;GHIOZZO DORATO;Gobius auratus;2;v0
54;GHIOZZO GO';Zosterisessor ophiocephalus;2;v0
55;GHIOZZO LEOPARDO;Thorogobius ephippiatus;2;v0
56;GHIOZZO LISTATO;Gobius vittatus;2;v0
57;GHIOZZO NERO/VARIEGATO;Gobius niger/roulei;2;v0
58;GHIOZZO PAGANELLO;Gobius paganellus;2;v0
59;GHIOZZO RASPOSO;Gobius incognitus;2;v0
60;GHIOZZO TESTONE;Gobius cobitis;2;v0
61;GHIOZZO ZEBRA;Zebrus zebrus;2;v0
62;GRONGO;Conger conger;2;v0
63;GRONGO DELLE BALEARI;Ariosoma balearicum;2;v0
64;LAMPUGA;Coryphaena hippurus;6;v0
65;LATTERINO;Atherina sp.;6;v0
66;LECCIA;Lichia amia;6;v0
67;LECCIA FASCIATA;Campogramma glaycos;6;v0
68;LECCIA STELLA;Trachinotus ovatus;6;v0
69;LUCCIO MARINO;Sphyraena sp.;6;v0
70;MENNOLA/GARIZZO;Spicara maena;6;v0
71;MERLUZZO;Trisopterus sp.;6;v0
72;MIRO;Echelus myrus;2;v0
73;MORMORA;Lithognatus mormyrus;6;v0
74;MOTELLA;Gaidropsarus mediterraneus;6;v0
75;MOTELLA MACULATA;Gaidropsarus vulgaris;6;v0
76;MURENA;Muraena helena;2;v0
77;MURENA NERA;Gymnothorax unicolor;2;v0
78;MUSDEA;Phycis phycis;2;v0
79;NASELLO;Merluccius merluccius;6;v0
80;NONO;Aphanius fasciatus;6;v0
81;OCCHIATA;Oblada melanura;6;v0
82;OMBRINA;Umbrina cirrosa;6;v0
83;ORATA;Sparus aurata;6;v0
84;PAGELLO BASTARDO;Pagellus acarne;6;v0
85;PAGELLO FRAGOLINO;Pagellus erythrinus;6;v0
86;PAGRO;Pagrus sp.;6;v0
87;PALAMITA;Sarda sarda;6;v0
88;PALOMBO;TRIAKIDAE fam.;6;v0
89;PASSERA;PLEURONECTIDAE fam.;2;v0
90;PEPERONCINO;Tripterygion tripteronotum;2;v0
91;PEPERONCINO GIALLO;Tripterygion delaisi;2;v0
92;PEPERONCINO MINORE;Tripterygion melanurum;2;v0
93;PERCHIA;Serranus cabrilla;4;v0
94;PESCE AGO;Syngnathus acus;2;v0
95;PESCE AGO CAVALLINO;Syngnathus typhle;2;v0
96;PESCE AGO SOTTILE;Nerophis ophidion;2;v0
97;PESCE BALESTRA;Balistes capriscus;6;v0
98;PESCE CHITARRA;Rhinobatos sp.;2;v0
99;PESCE CIVETTA;Dactylopterus volitans;4;v0
